Label 0 1 2 3 4 5 6 7 8 9 
0 28 0 8 15 18 28 16 11 25 12 
0 4 0 7 15 13 28 12 10 12 12 
0 10 0 14 15 13 28 16 10 14 12 
0 6 0 26 15 18 28 16 10 14 12 
0 8 0 16 15 17 28 16 10 9 13 
0 12 0 24 15 18 28 24 12 12 13 
0 6 0 7 15 18 28 16 12 14 13 
0 23 0 22 15 13 28 16 14 14 13 
0 13 0 20 15 22 28 12 14 12 14 
0 27 0 14 15 13 28 16 14 12 14 
0 12 0 3 15 13 28 24 14 12 13 
0 6 0 1 13 22 28 16 14 7 12 
0 27 0 24 13 13 28 1 14 18 12 
0 20 0 5 13 11 28 16 14 12 12 
0 10 0 24 13 13 28 24 14 25 12 
0 10 0 5 13 13 28 16 14 12 13 
0 23 0 12 13 18 28 24 14 9 13 
0 23 0 22 13 13 28 5 14 5 12 
0 10 0 22 13 18 28 16 14 14 12 
0 28 0 20 15 13 28 16 14 7 12 
0 28 0 5 13 13 28 16 14 25 12 
0 28 0 20 13 13 28 16 14 12 13 
0 6 0 24 15 13 28 1 14 20 13 
0 12 0 22 15 13 28 12 14 12 13 
0 10 0 2 12 18 28 16 14 18 14 
0 8 1 14 13 13 28 12 14 12 14 
0 28 1 24 13 18 28 16 14 12 15 
0 2 1 5 13 13 28 16 14 12 16 
0 27 1 24 13 22 28 24 14 21 17 
0 6 1 3 10 13 28 16 14 12 20 
0 15 1 3 7 13 28 24 16 12 20 
0 4 1 22 7 13 28 16 16 9 20 
0 2 1 3 7 18 28 24 16 7 22 
0 28 1 26 7 22 28 16 16 12 22 
0 14 1 9 7 13 28 16 15 12 22 
0 27 1 22 7 22 28 18 16 25 23 
0 10 1 7 7 18 28 29 14 12 23 
0 6 1 20 7 16 28 18 14 12 26 
0 10 1 22 7 13 28 16 14 7 22 
0 3 1 22 7 18 28 16 14 16 22 
0 12 1 3 7 13 28 16 14 12 22 
0 28 1 3 4 22 28 24 14 12 22 
0 28 1 5 5 13 28 16 14 24 25 
0 15 1 24 5 13 28 16 14 12 23 
0 10 1 21 5 13 28 16 14 18 26 
0 6 1 9 5 18 28 16 14 9 22 
0 10 1 7 5 18 28 16 14 7 22 
0 15 1 7 5 18 28 24 14 15 22 
0 6 1 22 7 13 28 24 14 9 22 
0 6 1 22 7 18 28 1 14 16 26 
0 10 3 22 7 13 28 5 14 9 23 
0 9 3 5 7 13 28 19 14 14 25 
0 15 6 9 7 13 28 27 14 5 22 
0 9 9 20 9 13 28 16 14 9 22 
0 17 9 5 8 11 28 13 14 18 26 
0 10 9 5 7 13 28 16 14 12 26 
0 4 9 5 9 13 28 5 14 12 26 
0 6 11 5 15 18 28 16 14 12 26 
0 15 11 5 15 13 28 16 14 9 25 
0 6 9 4 15 13 28 16 14 12 26 
0 23 9 22 15 13 28 4 14 3 20 
0 6 9 7 14 13 28 16 14 25 20 
0 6 9 5 15 13 28 16 16 5 20 
0 12 9 7 13 13 28 22 16 7 20 
0 6 9 7 13 13 28 16 16 12 19 
0 6 9 22 15 13 28 16 16 10 19 
0 2 6 5 15 13 28 16 16 23 20 
0 2 3 7 15 13 28 16 21 14 22 
0 2 3 5 15 13 29 16 16 25 22 
0 25 3 7 15 13 28 16 16 18 27 
0 28 3 7 15 11 28 16 16 12 28 
0 28 3 24 15 18 28 4 14 13 28 
0 12 3 22 15 13 28 16 23 16 28 
0 23 3 7 15 13 28 24 27 12 28 
0 23 3 3 15 18 28 16 27 12 28 
0 6 3 9 15 13 28 24 27 9 28 
0 10 3 24 15 13 28 1 16 12 28 
0 10 3 5 15 18 28 22 16 12 29 
0 25 3 7 15 5 28 12 16 11 29 
0 6 4 14 15 11 28 4 14 9 28 
0 12 4 5 15 13 28 12 14 14 28 
0 23 4 20 15 13 28 12 14 12 28 
0 10 13 24 15 13 28 16 16 12 28 
0 6 16 22 17 18 28 16 16 25 28 
0 4 14 5 16 11 28 4 14 12 28 
0 2 13 22 15 22 28 16 14 18 28 
0 12 10 8 15 18 28 16 14 7 28 
0 28 9 7 15 13 28 24 14 7 28 
0 23 9 7 15 11 27 16 14 25 28 
0 3 9 8 15 13 28 18 14 5 26 
0 3 9 26 15 18 26 16 14 9 27 
0 10 9 3 15 11 26 10 14 9 26 
0 19 9 14 15 13 26 22 14 5 22 
0 6 9 14 15 22 26 16 27 12 22 
0 27 3 14 15 26 25 24 16 11 22 
0 27 3 14 15 18 25 17 16 5 20 
0 27 3 14 15 22 25 24 16 26 17 
0 28 3 5 15 11 25 16 16 3 15 
0 27 3 5 15 24 25 24 16 5 12 
0 28 3 14 17 11 24 16 18 12 12 
0 6 3 20 17 26 22 18 20 7 12 
0 6 3 7 17 13 21 16 18 12 12 
0 6 3 9 17 22 21 24 20 25 12 
0 22 3 7 17 11 21 16 19 26 12 
0 10 3 7 17 11 21 12 16 7 12 
0 3 3 20 17 18 21 10 16 25 12 
0 12 3 7 17 18 21 16 27 12 12 
0 13 3 8 17 18 21 16 29 25 12 
0 6 3 7 17 22 21 2 27 12 12 
0 9 3 7 17 11 21 5 27 21 12 
0 15 3 22 17 13 21 1 16 25 12 
0 23 3 7 17 11 21 16 16 12 12 
0 10 3 22 18 13 21 16 16 9 12 
0 27 3 7 19 22 21 1 14 20 12 
0 23 3 7 22 11 21 16 14 14 12 
0 12 3 7 22 11 21 27 14 12 12 
0 27 3 24 22 24 21 1 12 14 12 
0 10 3 6 21 13 21 26 12 12 12 
0 29 3 22 22 22 21 16 12 12 12 
0 27 3 22 22 13 21 16 12 12 12 
0 3 3 7 22 22 21 27 10 12 12 
0 27 3 22 22 22 21 16 10 12 12 
0 4 3 5 19 11 21 24 14 18 12 
0 12 4 7 17 24 21 4 14 11 12 
0 4 3 7 19 13 21 24 13 12 12 
0 27 4 21 19 9 21 16 14 13 12 
0 23 6 26 17 22 21 16 14 12 12 
0 6 4 5 17 22 21 16 14 13 12 
0 10 4 14 17 13 21 1 12 9 12 
0 15 4 22 17 13 21 29 8 7 12 
0 15 4 24 17 22 21 4 8 24 12 
0 12 9 7 19 11 21 24 8 14 12 
0 6 9 20 23 11 21 16 8 12 12 
0 18 9 22 22 22 21 4 8 12 12 
0 6 8 5 22 11 21 24 8 7 15 
0 4 4 26 17 18 21 27 8 12 15 
0 10 4 26 17 23 21 16 8 5 12 
0 19 6 3 17 22 21 16 8 15 13 
0 15 6 24 17 11 21 16 8 5 12 
0 10 6 7 17 22 21 1 8 7 12 
0 6 4 22 17 13 21 22 8 7 12 
0 4 3 7 17 22 21 12 8 27 12 
0 6 3 24 17 9 21 24 8 28 11 
0 12 3 26 17 13 21 16 8 15 11 
0 6 11 14 17 13 21 22 8 12 11 
0 28 9 9 17 13 21 24 8 6 11 
0 8 9 7 17 22 21 24 8 7 11 
0 2 3 5 17 13 21 16 8 9 11 
0 0 3 5 17 11 21 16 8 7 11 
0 27 3 5 17 14 21 27 8 5 11 
0 23 3 5 17 9 19 26 8 25 11 
0 10 6 24 15 22 19 27 8 12 11 
0 23 6 7 15 13 19 16 8 16 11 
0 28 6 7 15 22 19 24 8 26 11 
0 12 6 7 15 0 17 5 8 7 11 
0 28 6 26 15 4 11 5 8 12 11 
0 3 3 27 15 24 11 24 8 5 8 
0 6 3 3 15 24 11 5 8 5 8 
0 6 3 21 15 11 11 1 8 25 8 
0 16 3 16 15 22 11 27 8 5 7 
0 23 3 22 15 13 11 5 6 25 8 
0 25 3 24 15 22 11 4 6 26 7 
0 6 3 5 15 24 11 22 6 9 8 
0 8 3 5 15 9 11 16 6 25 8 
0 12 3 22 15 26 11 0 6 9 8 
0 8 4 5 15 9 11 22 6 9 8 
0 12 4 22 15 18 11 12 6 25 9 
0 17 4 5 15 13 11 4 4 12 9 
0 12 6 20 15 13 11 16 6 25 9 
0 27 6 22 15 24 11 24 6 14 9 
0 23 8 24 15 11 11 1 4 12 11 
0 10 8 22 15 22 11 17 4 12 11 
0 14 8 14 15 13 11 16 4 12 11 
0 23 8 14 15 13 11 12 4 22 11 
0 10 6 14 15 18 11 16 4 12 11 
0 16 6 20 15 13 11 16 4 13 11 
0 12 6 14 15 13 11 19 4 12 11 
0 10 9 22 15 18 11 18 4 10 11 
0 27 10 14 15 9 11 16 4 9 11 
0 27 14 24 15 13 11 16 4 23 11 
0 27 14 22 15 18 11 16 3 8 11 
0 15 15 14 17 13 11 16 4 9 11 
0 8 14 7 17 11 11 16 4 12 11 
0 16 16 7 15 13 11 0 0 5 11 
0 25 16 5 15 8 11 16 1 14 11 
0 25 16 20 15 13 10 16 0 5 11 
0 14 16 7 15 9 7 12 2 9 11 
0 19 16 14 15 9 7 16 2 25 11 
0 8 16 14 15 22 7 16 5 7 11 
0 23 16 6 15 9 6 16 6 26 11 
0 10 16 22 15 24 4 13 4 9 11 
0 3 15 3 15 18 5 27 6 25 11 
0 6 15 1 13 27 3 16 6 7 11 
0 16 15 1 7 9 1 24 6 25 11 
0 17 16 24 7 26 1 24 8 9 11 
0 4 16 24 7 24 1 16 8 7 11 
0 6 15 3 7 13 1 16 8 5 11 
0 23 15 23 7 22 1 24 8 9 11 
0 10 15 20 7 11 1 16 8 12 11 
0 14 15 5 7 11 1 4 8 25 11 
0 12 16 4 7 11 1 16 8 5 9 
0 12 16 9 7 22 1 27 8 9 9 
0 23 17 12 7 24 1 16 8 14 9 
0 15 17 14 7 11 1 24 8 25 9 
0 10 17 20 7 10 1 15 8 9 9 
0 6 17 22 7 13 1 12 8 12 9 
0 10 17 22 7 9 0 12 7 15 9 
0 6 17 22 7 13 1 8 8 8 9 
0 6 17 7 7 22 1 12 8 12 9 
0 15 17 5 7 22 1 24 8 18 9 
0 23 17 5 7 22 1 16 8 12 9 
0 12 17 22 7 11 1 6 8 25 9 
0 22 17 14 7 13 1 24 8 10 9 
0 23 17 5 7 13 1 2 8 18 11 
0 12 17 22 7 24 1 24 8 12 11 
0 16 18 26 7 17 1 27 8 9 11 
0 19 19 3 5 24 1 24 8 13 11 
0 12 19 5 6 26 1 10 8 9 11 
0 25 19 20 7 24 1 1 8 5 11 
0 12 19 24 7 13 1 24 8 14 11 
0 9 19 7 7 22 1 16 8 5 11 
0 12 19 5 7 26 1 16 8 9 11 
0 12 19 24 7 11 1 5 8 14 11 
0 12 20 20 7 13 1 16 8 7 11 
0 12 20 9 7 22 1 24 10 9 11 
0 15 20 5 7 25 2 27 10 12 11 
0 8 20 7 7 22 3 24 10 25 11 
0 12 22 7 7 9 1 16 10 14 11 
0 10 22 22 7 9 1 2 9 12 11 
0 15 22 7 7 13 1 16 10 12 11 
0 15 22 5 7 18 1 16 8 12 12 
0 12 22 22 9 11 1 2 8 5 11 
0 12 22 7 9 18 1 16 10 25 12 
0 14 22 12 9 22 3 16 10 12 12 
0 6 22 20 15 13 8 16 10 12 12 
0 10 22 7 15 26 7 20 10 12 12 
0 15 23 9 15 24 7 10 10 12 12 
0 12 23 22 15 13 7 12 10 5 12 
0 15 23 22 15 26 7 17 12 7 12 
0 20 23 17 15 18 7 16 14 12 12 
0 12 24 16 15 18 7 24 14 25 12 
0 14 24 20 15 11 7 16 14 12 12 
0 15 24 20 15 22 11 22 14 8 12 
0 23 24 9 15 13 11 16 14 21 12 
0 25 24 20 15 24 11 22 20 12 12 
0 10 25 7 15 13 11 24 16 25 12 
0 15 28 14 15 13 11 4 17 22 12 
0 12 28 7 15 9 7 12 16 12 12 
0 10 29 19 15 22 7 16 16 7 12 
0 13 29 22 15 13 7 16 27 9 12 
0 22 29 9 15 26 1 22 27 1 12 
0 25 29 5 15 11 1 12 27 12 12 
0 10 29 20 15 11 1 16 27 25 12 
0 10 29 22 15 22 1 16 27 12 12 
0 23 29 22 15 22 1 16 27 9 12 
